NOTES:,This sheet contains merged booths (after 2010). See Merges sheet,,,,,,,,,
,,: merged booths after 2010,,,,,,,,
,,: error. No nearby 2010 matchs,,,,,,,,
,,: a sythesized 2006 result,,,,,,,,
,,,,,,,,,,
BOOTH_NAME,VENUE NAME,ADDRESS,DISTRICT,REGION,GREENS_PERC_2010,GREENS_PERC_2006,VENUE NAME,ADDRESS,LATITUDE,LONGITUDE
Aberdeen,Matthew Flinders Girls Secondary College,corner Myers Street and Latrobe Terrace Geelong,Geelong,Western Victoria,15.47,15.97,Matthew Flinders Girls Secondary College,corner Myers Street and Latrobe Terrace Geelong,-38.150649,144.35427
Aireys Inlet,Aireys Inlet Community Centre,6 Great Ocean Road Aireys Inlet,Polwarth,Western Victoria,30.30,26.64,Aireys Inlet Community Centre,6 Great Ocean Road Aireys Inlet,-38.456476,144.108107
Alfredton,McCallum Community Centre,29 Learmonth Street Alfredton,Wendouree,Western Victoria,8.01,8.46,McCallum Community Centre,29 Learmonth Street Alfredton,-37.557996,143.813805
Alfredton West,Alfredton Primary School,Cuthberts Road Alfredton,Wendouree,Western Victoria,9.82,7.03,Alfredton Primary School,Cuthberts Road Alfredton,-37.554922,143.801654
Allansford,Allansford Primary School,Frank Street Allansford,South-West Coast,Western Victoria,9.43,6.51,Allansford Primary School,Frank Street Allansford,-38.386084,142.59024
Alvie,Alvie Consolidated School,Wool Wool Road Alvie,Polwarth,Western Victoria,9.26,7.19,Alvie Consolidated School,Wool Wool Road Alvie,-38.241899,143.50332
Amphitheatre,Amphitheatre Public Hall,Baily Street Amphitheatre,Ripon,Western Victoria,9.66,5.99,Amphitheatre Public Hall,Baily Street Amphitheatre,-37.182264,143.399305
Anakie,Anakie Community House,2115 Ballan Road Anakie,Lara,Western Victoria,11.39,7.67,Anakie Community House,2115 Ballan Road Anakie,-37.903202,144.253141
Anglesea,Anglesea Memorial Hall,McMillan Street Anglesea,Polwarth,Western Victoria,17.29,14.72,Anglesea Memorial Hall,McMillan Street Anglesea,-38.40949,144.185374
Antwerp,Antwerp Community Hall,Antwerp-Woorak Road Antwerp,Lowan,Western Victoria,3.75,2.68,Antwerp Community Hall,Antwerp-Woorak Road Antwerp,-36.296521,142.025237
Apollo Bay,Apollo Bay Leisure Centre,Costin Street Apollo Bay,Polwarth,Western Victoria,20.68,20.58,Apollo Bay Leisure Centre,Costin Street Apollo Bay,-38.751022,143.660825
Apsley,Apsley Hall,62 Wallace Street Apsley,Lowan,Western Victoria,5.07,4.15,Apsley Hall,62 Wallace Street Apsley,-36.967844,141.082088
Ararat,Ararat Senior Citizens Clubrooms,High Street Ararat,Ripon,Western Victoria,5.13,5.51,Ararat Senior Citizens Clubrooms,High Street Ararat,-37.282772,142.928624
Ararat West,Ararat Community College,corner Benbow and Laby Streets Ararat,Ripon,Western Victoria,6.58,5.81,Ararat Community College,corner Benbow and Laby Streets Ararat,-37.28578,142.92303
Ascot,Ascot Hall,Ascot Hall Road Ascot,Ripon,Western Victoria,4.76,3.88,Ascot Hall,Ascot Hall Road Ascot,-37.398225,143.802836
Avalon,Avalon Airport,80 Beach Road Lara,Lara,Western Victoria,19.05,7.50,Avalon Airport,80 Beach Road Lara,-38.026587,144.472517
Avoca,Avoca RSL Hall,High Street Avoca,Ripon,Western Victoria,6.50,5.61,Avoca RSL Hall,High Street Avoca,-37.085049,143.47247
Bacchus Marsh,Bacchus Marsh Leisure Centre,Labilliere Street Bacchus Marsh,Melton,Western Victoria,11.67,10.23,Bacchus Marsh Leisure Centre,Labilliere Street Bacchus Marsh,-37.68392,144.432003
